,name,gender,time,place,timezone,Rodden Rating,Category
82,"


Abbado, Marcello
"," M

","7 October 1926 at 07:00  (= 07:00 AM )
","Milan, Italy, 45n28,  9e12 
","MET h1e (is standard time)
",AA,"1926 births&Birthday 7 October&Birthplace Milan, ITALY&Sun 13 Libra&Moon 16 Libra&Asc 18 Libra&2020 deaths&Family : Childhood : Family noted&Family : Childhood : Order of birth&Family : Childhood : Sibling circumstances&Lifestyle : Work : Travel for work&Personal : Death : Long life more than 80 yrs&Vocation : Education : Teacher&Vocation : Entertain/Music : Composer/ Arranger&Vocation : Entertain/Music : Conductor&Vocation : Entertain/Music : Instrumentalist"
83,"


Abbagnale, Agostino
"," M

","25 August 1966 at 11:15  (= 11:15 AM )
","Pompei, Italy, 40n45,  14e30 
","MEDT h2e (is daylight saving time)
",AA,"1966 births&Birthday 25 August&Birthplace Pompei, ITALY&Sun 1 Virgo&Moon 28 Sagittarius&Asc 28 Libra&Vocation : Sports : Rowing/ Kayaking&Notable : Awards : Olympics"
84,"


Abbagnano, Nicola
"," M

","15 July 1901 at 21:15  (= 9:15 PM )
","Salerno, Italy, 40n41,  14e47 
","MET h1e (is standard time)
",AA,"1901 births&Birthday 15 July&Birthplace Salerno, ITALY&Sun 22 Cancer&Moon 21 Cancer&Asc 29 Aquarius&1990 deaths&Personal : Religion/Spirituality : Philosopher/ Humanist&Personal : Death : Long life more than 80 yrs&Vocation : Writers : Religion/ Philosophy"
85,"


Abballa, Larossi
"," M

","28 March 1991 at 20:40  (= 8:40 PM )
","Meulan, France, 49n01,  1e54 
","MET h1e (is standard time)
",AA,"1991 births&Birthday 28 March&Birthplace Meulan, FR&Sun 7 Aries&Moon 19 Virgo&Asc 23 Libra&2016 deaths&Passions : Criminal Perpetrator : Terrorist"
86,"


Abbamonte, Mary Francis
"," F

","5 April 1946 at 14:44  (= 2:44 PM )
","Montclair, New Jersey, 40n50,  74w13 
","EST h5w (is standard time)
",A,"1946 births&Birthday 5 April&Birthplace Montclair, NJ (US)&Sun 15 Aries&Moon 5 Gemini&Asc 2 Virgo&Vocation : Occult Fields : Astrologer&Vocation : Writers : Astrology"
87,"


Abbas, Ferhat
"," M

","24 August 1899 at 16:00  (= 4:00 PM )
","Taher, Algeria, 36n4619,  5e5354 
","PMT m2e2015 (is standard time)
",AA,"1899 births&Birthday 24 August&Birthplace Taher, ALG&Sun 1 Virgo&Moon 19 Aries&Asc 16 Capricorn&1985 deaths&Family : Parenting : Kids 1-3&Personal : Death : Long life more than 80 yrs&Vocation : Politics : Heads of state&Vocation : Politics : Party Affiliation&Vocation : Politics : Public office"
88,"


Abbas, Khwaja Ahmad
"," M

","7 June 1914 at 23:59  (= 11:59 PM )
","Hariana, India, 31n38,  75e51 
","IST h5e30 (is standard time)
",B,"1914 births&Birthday 7 June&Birthplace Hariana, INDIA&Sun 16 Gemini&Moon 9 Sagittarius&Asc 28 Aquarius&1987 deaths&Vocation : Entertain/Business : Director&Vocation : Writers : Columnist/ journalist&Vocation : Writers : Fiction&Vocation : Writers : Playwright/ script"
89,"


Abbate, Paolo
"," M

","12 April 1884 at 01:00  (= 01:00 AM )
","Villarosa, Italy, 37n35,  14e10 
","LST m13e22 (is standard time)
",AA,"1884 births&Birthday 12 April&Birthplace Villarosa, ITALY&Sun 22 Aries&Moon 9 Scorpio&Asc 16 Capricorn&Vocation : Art : Fine art artist&Vocation : Business : Middle Management"
90,"


Abbe, Ernst
"," M

","23 January 1840 at 21:30  (= 9:30 PM )
","Eisenach/Thür., Germany, 50n59,  10e19 
","LMT m10e19 (is local mean time)
",AA,"1840 births&Birthday 23 January&Birthplace Eisenach/Thür., GER&Sun 3 Aquarius&Moon 2 Libra&Asc 26 Virgo&1905 deaths&Vocation : Business : Entrepreneur&Vocation : Science : Physics&Notable : Famous : Founder/ originator"
91,"


Abbéma, Louise
"," F

","30 October 1853 at 16:00  (= 4:00 PM )
","Étampes, France, 48n26,  2e09 
","LMT m2e09 (is local mean time)
",AA,"1853 births&Birthday 30 October&Birthplace Étampes, FR&Sun 7 Scorpio&Moon 13 Libra&Asc 18 Aries&1927 deaths&Vocation : Art : Fine art artist&Notable : Awards : Medals"
92,"


Abbett, Robert K.
"," M

","5 January 1926 at 15:15  (= 3:15 PM )
","Hammond, Indiana, 41n35,  87w30 
","CST h6w (is standard time)
",AA,"1926 births&Birthday 5 January&Birthplace Hammond, IN (US)&Sun 14 Capricorn&Moon 28 Virgo&Asc 28 Gemini&2015 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Art : Commercial artist&Vocation : Art : Fine art artist"
93,"


Abbey, Edward
"," M

","29 January 1927 at 22:30  (= 10:30 PM )
","Indiana, Pennsylvania, 40n37,  79w09 
","EST h5w (is standard time)
",AA,"1927 births&Birthday 29 January&Birthplace Indiana, PA (US)&Sun 9 Aquarius&Moon 26 Sagittarius&Asc 9 Libra&Vocation : Politics : Activist/ social&Vocation : Politics : Party Affiliation&Vocation : Writers : Fiction&Vocation : Writers : Textbook/ Non-fiction"
94,"


Abbot, Agnes Anne
"," F

","19 August 1897 at 18:30  (= 6:30 PM )
","Potsdam, Germany, 52n24,  13e04 
","MET h1e (is standard time)
",AA,"1897 births&Birthday 19 August&Birthplace Potsdam, GER&Sun 26 Leo&Moon 20 Taurus&Asc 4 Aquarius&1992 deaths&Lifestyle : Home : Expatriate&Personal : Death : Long life more than 80 yrs&Vocation : Art : Fine art artist&Notable : Book Collection : Profiles Of Women"
95,"


Abbott, Dale
"," M

","7 October 1965 at 23:06  (= 11:06 PM )
","Worcester, Massachusetts, 42n16,  71w48 
","EDT h4w (is daylight saving time)
",AA,"1965 births&Birthday 7 October&Birthplace Worcester, MA (US)&Sun 14 Libra&Moon 16 Pisces&Asc 12 Cancer&Family : Relationship : Widowed&Passions : Criminal Perpetrator : Homicide single"
96,"


Abbott, Delila
"," F

","4 November 1908 at 09:10  (= 09:10 AM )
","West Jordan, Utah, 40n37,  111w56 
","MST h7w (is standard time)
",AA,"1908 births&Birthday 4 November&Birthplace West Jordan, UT (US)&Sun 11 Scorpio&Moon 22 Pisces&Asc 6 Sagittarius&1998 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Politics : Activist/ feminist&Vocation : Politics : Public office&Vocation : Writers : Fiction&Vocation : Misc. : Homemaker/Care provider"
97,"


Abbott, Isabella
"," F

","20 June 1919 at 00:20  (= 12:20 AM )
","Hana, Hawaii, 20n45,  155w59 
","HST h10w30 (is standard time)
",AA,"1919 births&Birthday 20 June&Birthplace Hana, HI (US)&Sun 28 Gemini&Moon 18 Pisces&Asc 5 Aries&2010 deaths&Traits : Body : Race&Traits : Mind : Education extensive&Family : Childhood : Order of birth&Family : Relationship : Marriage more than 15 Yrs&Family : Parenting : Kids more than 3&Personal : Death : Long life more than 80 yrs&Vocation : Education : Researcher&Vocation : Education : Teacher&Vocation : Science : Biology&Vocation : Writers : Textbook/ Non-fiction&Notable : Awards : Vocational award&Notable : Famous : First in Field"
98,"


Abbott, Jennifer
"," F

","28 February 1971 at 05:59  (= 05:59 AM )
","Ware, Massachusetts, 42n16,  72w14 
","EST h5w (is standard time)
",AA,"1971 births&Birthday 28 February&Birthplace Ware, MA (US)&Sun 9 Pisces&Moon 22 Aries&Asc 25 Aquarius&1997 deaths&Passions : Criminal Victim : Homicide victim&Personal : Death : Short Life less than 29 Yrs"
99,"


Abbott, Jess
"," F

","4 June 1991 at 21:24  (= 9:24 PM )
","Sacramento, California, 38n35,  121w30 
","PDT h7w (is daylight saving time)
",AA,"1991 births&Birthday 4 June&Birthplace Sacramento, CA (US)&Sun 14 Gemini&Moon 8 Pisces&Asc 27 Sagittarius&Vocation : Entertain/Music : Group/ Duo&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
100,"


Abbott, Josh
"," M

","20 July 1980 at 20:51  (= 8:51 PM )
","Gatesville, Texas, 31n26,  97w45 
","CDT h5w (is daylight saving time)
",A,"1980 births&Birthday 20 July&Birthplace Gatesville, TX (US)&Sun 28 Cancer&Moon 7 Scorpio&Asc 4 Aquarius&Family : Parenting : Kids 1-3&Vocation : Entertain/Music : Country-Western&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
101,"


Abbott, Karen
"," F

","23 January 1973 at 00:00  (= 12:00 midnight )
","Philadelphia, Pennsylvania, 39n57,  75w10 
","EST h5w (is standard time)
",C,"1973 births&Birthday 23 January&Birthplace Philadelphia, PA (US)&Sun 3 Aquarius&Moon 28 Virgo&Asc 25 Libra&Vocation : Writers : Textbook/ Non-fiction"
102,"


Abbott, Kenneth Roy
"," M

","30 April 1998 at 03:55  (= 03:55 AM )
","Orange, California, 33n47,  117w51 
","PDT h7w (is daylight saving time)
",A,"1998 births&Birthday 30 April&Birthplace Orange, CA (US)&Sun 9 Taurus&Moon 4 Cancer&Asc 20 Pisces&Family : Childhood : Sibling circumstances&Family : Parenting : Parenting stressful&Personal : Birth : Twin, triplet, etc.&Personal : Birth : Unusual circumstances&Notable : Famous : Notable extremes"
103,"


Abbott, Kyle
"," M

","18 February 1968 at 09:55  (= 09:55 AM )
","Newburyport, Massachusetts, 42n49,  70w53 
","EST h5w (is standard time)
",AA,"1968 births&Birthday 18 February&Birthplace Newburyport, MA (US)&Sun 29 Aquarius&Moon 25 Libra&Asc 20 Taurus&Lifestyle : Work : Work in team/ Tandem&Vocation : Sports : Baseball"
104,"


Abbott, Monica
"," F

","28 July 1985 at 08:46  (= 08:46 AM )
","Santa Cruz, California, 36n58,  122w02 
","PDT h7w (is daylight saving time)
",A,"1985 births&Birthday 28 July&Birthplace Santa Cruz, CA (US)&Sun 5 Leo&Moon 23 Sagittarius&Asc 6 Virgo&Vocation : Sports : Baseball&Notable : Awards : Medals&Notable : Awards : Olympics&Notable : Awards : Vocational award&Notable : Famous : First in Field"
105,"


Abbott, Nelson
"," M

","30 January 1966 at 22:31  (= 10:31 PM )
","Escondido, California, 33n07,  117w05 
","PST h8w (is standard time)
",A,"1966 births&Birthday 30 January&Birthplace Escondido, CA (US)&Sun 10 Aquarius&Moon 28 Taurus&Asc 17 Libra&Traits : Mind : Education extensive&Family : Parenting : Kids more than 3&Vocation : Law : Attorney&Vocation : Politics : Party Affiliation&Vocation : Politics : Public office"
106,"


Abbott, Roger
"," M

","10 July 1946 at 03:00  (= 03:00 AM )
","Birkenhead, England, 53n24,  3w02 
","GDT h1e (is daylight saving time)
",A,"1946 births&Birthday 10 July&Birthplace Birkenhead, ENG (UK)&Sun 17 Cancer&Moon 29 Scorpio&Asc 20 Gemini&Lifestyle : Work : Work in team/ Tandem&Vocation : Entertainment : Comedy&Vocation : Entertainment : Radio/ D.J./ Announcer&Vocation : Entertainment : TV series/ Soap star"
107,"


Abbott, Tommy
"," M

","4 November 1934 at 07:00  (= 07:00 AM )
","Waco, Texas, 31n33,  97w09 
","CST h6w (is standard time)
",AA,"1934 births&Birthday 4 November&Birthplace Waco, TX (US)&Sun 11 Scorpio&Moon 9 Libra&Asc 13 Scorpio&1987 deaths&Vocation : Entertainment : Actor/ Actress&Vocation : Entertain/Music : Dancer/ Teacher"
108,"


Abbott, Tony
"," M

","4 November 1957 at 04:00  (= 04:00 AM )
","London, England, 51n30,  0w10 
","GMT h0e (is standard time)
",A,"1957 births&Birthday 4 November&Birthplace London, ENG (UK)&Sun 11 Scorpio&Moon 2 Aries&Asc 9 Libra&Personal : Religion/Spirituality : Western&Vocation : Business : Middle Management&Vocation : Politics : Activist/ political&Vocation : Politics : Heads of state&Vocation : Politics : Other Politics"
109,"


Abboud, Joseph
"," M

","5 May 1950 at 19:05  (= 7:05 PM )
","Boston, Massachusetts, 42n22,  71w04 
","EDT h4w (is daylight saving time)
",AA,"1950 births&Birthday 5 May&Birthplace Boston, MA (US)&Sun 14 Taurus&Moon 7 Capricorn&Asc 7 Scorpio&Traits : Personality : Ambitious&Traits : Personality : Hard worker&Family : Parenting : Kids 1-3&Lifestyle : Work : Start young less than 16&Vocation : Beauty : Designer/ Fashion&Vocation : Business : Business owner&Vocation : Writers : Autobiographer&Notable : Awards : Vocational award"
110,"


Abboud, Robert
"," M

","29 May 1929
","Boston, Massachusetts, 42n22,  71w04 
","EDT h4w (is daylight saving time)
",X,"1929 births&Birthday 29 May&Birthplace Boston, MA (US)&Sun 7 Gemini&Vocation : Business : Banker/ Financier&Vocation : Business : Top executive"
111,"


Abbéma, Louise
"," F

","30 October 1853 at 16:00  (= 4:00 PM )
","Étampes, France, 48n26,  2e09 
","LMT m2e09 (is local mean time)
",AA,"1853 births&Birthday 30 October&Birthplace Étampes, FR&Sun 7 Scorpio&Moon 13 Libra&Asc 18 Aries&1927 deaths&Vocation : Art : Fine art artist&Notable : Awards : Medals"
112,"


Abd-Ru-Shin
"," M

","18 April 1875 at 13:14  (= 1:14 PM )
","Bischofswerda, Germany, 51n07,  14e10 
","LMT m14e10 (is local mean time)
",C,"1875 births&Birthday 18 April&Birthplace Bischofswerda, GER&Sun 28 Aries&Moon 4 Libra&Asc 28 Leo&1941 deaths&Personal : Religion/Spirituality : Metaphysical&Vocation : Occult Fields : Other Occult Fields&Vocation : Writers : Metaphysics/ Parapsychology"
113,"


Abd el Farrag, Nadja
"," F

","5 March 1965 at 11:55  (= 11:55 AM )
","Hamburg, Germany, 53n33,  9e59 
","MET h1e (is standard time)
",A,"1965 births&Birthday 5 March&Birthplace Hamburg, GER&Sun 14 Pisces&Moon 8 Aries&Asc 10 Cancer&Vocation : Entertainment : TV host/ Personality&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc."
114,"


Abdelmahmoud, Elamin
"," M

","10 March 1988 at 02:00  (= 02:00 AM )
","Khartoum, Sudan, 15n36,  32e32 
","CAT h2e (is standard time)
",C,"1988 births&Birthday 10 March&Birthplace Khartoum, SUDAN&Sun 19 Pisces&Moon 1 Sagittarius&Asc 12 Capricorn&Traits : Body : Race&Lifestyle : Home : Expatriate&Vocation : Entertainment : Radio/ D.J./ Announcer&Vocation : Entertainment : Internet personality&Vocation : Writers : Columnist/ journalist"
115,"


Abderrhamane, Bonnedienne
"," M

","26 November 1920 at 02:00  (= 02:00 AM )
","Mostaganem, Algeria, 35n51,  0e07 
","GMT h0e (is standard time)
",AA,"1920 births&Birthday 26 November&Birthplace Mostaganem, ALG&Sun 3 Sagittarius&Moon 3 Gemini&Asc 4 Libra&Vocation : Sports : Soccer (Eur.Football)"
116,"


Abdeslam, Salah
"," M

","15 September 1989
","Brussels, Belgium, 50n50,  4e20 
","MEDT h2e (is daylight saving time)
",X,"1989 births&Birthday 15 September&Birthplace Brussels, BEL&Sun 22 Virgo&Vocation : Misc. : Mechanic&Notable : Famous : Criminal cases"
117,"


Abdul, Paula
"," F

","19 June 1962 at 14:32  (= 2:32 PM )
","Los Angeles, California, 34n03,  118w15 
","PDT h7w (is daylight saving time)
",AA,"1962 births&Birthday 19 June&Birthplace Los Angeles, CA (US)&Sun 28 Gemini&Moon 21 Capricorn&Asc 18 Libra&Traits : Body : Race&Diagnoses : Psychological : Abuse Drugs&Diagnoses : Psychological : Eating Disorder&Family : Relationship : Mate - Noted&Family : Relationship : Number of Marriages&Family : Parenting : Kids none&Lifestyle : Financial : Gain - Financial success in field&Vocation : Entertain/Music : Dancer/ Teacher&Vocation : Entertain/Music : Vocalist/ Pop, Rock, etc.&Notable : Book Collection : Profiles Of Women"
118,"


Abdul, Raoul Reheme
"," M

","7 November 1929 at 22:14  (= 10:14 PM )
","Cleveland, Ohio, 41n30,  81w42 
","EST h5w (is standard time)
",AA,"1929 births&Birthday 7 November&Birthplace Cleveland, OH (US)&Sun 15 Scorpio&Moon 29 Capricorn&Asc 0 Leo&Traits : Body : Race&Vocation : Education : Teacher&Vocation : Entertain/Music : Vocalist/Opera&Vocation : Writers : Columnist/ journalist&Vocation : Writers : Critic&Vocation : Writers : Publisher/ Editor&Vocation : Writers : Textbook/ Non-fiction"
119,"


Abdul-Jabbar, Kareem
"," M

","16 April 1947 at 18:30  (= 6:30 PM )
","Harlem (New York County), New York, 40n48,  73w57 
","EST h5w (is standard time)
",A,"1947 births&Birthday 16 April&Birthplace Harlem (New York County), NY (US)&Sun 26 Aries&Moon 4 Pisces&Asc 25 Libra&Traits : Body : Race&Traits : Body : Size&Traits : Body : Weight&Diagnoses : Major Diseases : Cancer&Diagnoses : Psychological : Abuse Drugs&Lifestyle : Work : Same Job more than 10 yrs&Lifestyle : Financial : Extravagant&Lifestyle : Financial : Extreme ups and downs&Lifestyle : Home : Property damage&Passions : Criminal Perpetrator : Assault/ Battery&Passions : Criminal Perpetrator : Lawsuit instigated&Passions : Criminal Victim : Lawsuit sued&Personal : Birth : Unusual circumstances&Personal : Misc. : Changed name&Vocation : Sports : Basketball&Vocation : Writers : Autobiographer&Vocation : Writers : Textbook/ Non-fiction&Notable : Awards : Vocational award&Notable : Book Collection : American Book"
120,"


Abdul-Rauf, Mahmoud
"," M

","9 March 1969
","Gulfport, Mississippi, 30n22,  89w06 
","CST h6w (is standard time)
",X,"1969 births&Birthday 9 March&Birthplace Gulfport, MS (US)&Sun 19 Pisces&Lifestyle : Work : Job-Related Injury&Lifestyle : Work : Work in team/ Tandem&Personal : Religion/Spirituality : Western&Vocation : Sports : Basketball"
121,"


Abdul-Wahad, Tariq
"," M

","3 November 1974 at 02:50  (= 02:50 AM )
","Maisons Alfort, France, 48n48,  2e26 
","MET h1e (is standard time)
",AA,"1974 births&Birthday 3 November&Birthplace Maisons Alfort, FR&Sun 10 Scorpio&Moon 17 Gemini&Asc 16 Virgo&Lifestyle : Work : Work in team/ Tandem&Vocation : Sports : Basketball&Vocation : Sports Business : Coach/ Manager/ Owner"
122,"


Abdul Hamid II, Sultan
"," M

","21 September 1842 at 19:00  (= 7:00 PM )
","Constantinople, Turkey, 41n01,  28e58 
","LMT m28e5805 (is local mean time)
",C,"1842 births&Birthday 21 September&Birthplace Constantinople, TUR&Sun 28 Virgo&Moon 19 Aries&Asc 25 Aries&1918 deaths&Family : Relationship : Number of Marriages&Family : Parenting : Kids more than 3&Lifestyle : Home : Expatriate&Vocation : Politics : Heads of state&Notable : Famous : Royal family"
123,"


Abdul Muntaqim, Prince of Brunei
"," M

","17 March 2007 at 15:50  (= 3:50 PM )
","Bandar Seri Begawan, Brunei, 4n56,  114e55 
","AWST h8e (is standard time)
",A,"2007 births&Birthday 17 March&Birthplace Bandar Seri Begawan, BRU&Sun 26 Pisces&Moon 1 Pisces&Asc 15 Leo&Family : Childhood : Order of birth&Personal : Religion/Spirituality : Fundamentalist/ Islam&Notable : Famous : Royal family"
124,"


Abdullah II, King of Jordan
"," M

","30 January 1962 at 05:23  (= 05:23 AM )
","' Amman, Jordan, 31n57,  35e56 
","EET h2e (is standard time)
",A,"1962 births&Birthday 30 January&Birthplace ' Amman, JOR&Sun 9 Aquarius&Moon 23 Scorpio&Asc 19 Capricorn&Family : Childhood : Family large&Family : Childhood : Family traumatic event&Family : Childhood : Sibling circumstances&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Lifestyle : Social Life : Collector&Vocation : Military : Military career&Vocation : Travel : Pilot/ military&Notable : Famous : Royal family"
125,"


Abdulov, Alexandr Gavrilovich
"," M

","29 May 1953 at 07:15  (= 07:15 AM )
","Tobol'sk, Russian Federation, 58n12,  68e16 
","R4T h5e (is standard time)
",A,"1953 births&Birthday 29 May&Birthplace Tobol'sk, RU&Sun 7 Gemini&Moon 12 Sagittarius&Asc 24 Cancer&2008 deaths&Diagnoses : Major Diseases : Cancer&Vocation : Entertainment : Actor/ Actress&Notable : Famous : Top 5% of Profession"
126,"


Abdur-Rahim, Shareef
"," M

","11 December 1976
","Marietta, Georgia (US), 33n57,  84w33 
","EST h5w (is standard time)
",X,"1976 births&Birthday 11 December&Birthplace Marietta, GA (US)&Sun 19 Sagittarius&Lifestyle : Work : Work in team/ Tandem&Lifestyle : Home : Expatriate&Personal : Religion/Spirituality : Western&Vocation : Sports : Basketball"
127,"


Abe, Shinzo
"," M

","21 September 1954 at 02:35  (= 02:35 AM )
","Tokyo, Japan, 35n42,  139e46 
","JST h9e (is standard time)
",C,"1954 births&Birthday 21 September&Birthplace Tokyo, JAPAN&Sun 27 Virgo&Moon 13 Cancer&Asc 20 Leo&2022 deaths&Family : Childhood : Family noted&Family : Relationship : Marriage more than 15 Yrs&Family : Relationship : Number of Marriages&Family : Parenting : Kids none&Lifestyle : Home : Expatriate&Passions : Criminal Victim : Homicide victim&Vocation : Politics : Activist/ political&Vocation : Politics : Heads of state&Vocation : Politics : Party Affiliation&Vocation : Politics : Public office&Notable : Famous : Notable extremes"
128,"


Abécassis, Eliette
"," F

","27 January 1969 at 09:50  (= 09:50 AM )
","Strassburg, France, 48n35,  7e45 
","MET h1e (is standard time)
",AA,"1969 births&Birthday 27 January&Birthplace Strassburg, FR&Sun 7 Aquarius&Moon 29 Taurus&Asc 22 Pisces&Personal : Religion/Spirituality : Philosopher/ Humanist&Vocation : Education : Researcher&Vocation : Education : Teacher&Vocation : Writers : Detective/ Mystery"
129,"


Abegg, Elisabeth
"," F

","3 March 1882 at 01:00  (= 01:00 AM )
","Strasbourg, France, 48n35,  7e45 
","LMT m7e45 (is local mean time)
",AA,"1882 births&Birthday 3 March&Birthplace Strasbourg, FR&Sun 12 Pisces&Moon 20 Leo&Asc 2 Sagittarius&1974 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Education : Teacher&Vocation : Military : Pacifist/ Objector&Vocation : Politics : Party Affiliation"
130,"


Abegg, Wilhelm
"," M

","29 August 1876 at 03:00  (= 03:00 AM )
","Berlin, Germany, 52n29,  13e21 
","LMT m13e21 (is local mean time)
",AA,"1876 births&Birthday 29 August&Birthplace Berlin, GER&Sun 6 Virgo&Moon 1 Capricorn&Asc 13 Leo&1951 deaths&Vocation : Law : Police&Vocation : Politics : Party Affiliation&Vocation : Politics : Public office"
131,"


Abeille, Claude
"," M

","4 March 1930 at 09:20  (= 09:20 AM )
","Landerneau, France, 48n27,  4w15 
","GMT h0e (is standard time)
",AA,"1930 births&Birthday 4 March&Birthplace Landerneau, FR&Sun 13 Pisces&Moon 26 Aries&Asc 21 Taurus&Vocation : Art : Fine art artist"
132,"


Abeille, Patrice
"," M

","9 March 1954 at 05:40  (= 05:40 AM )
","Annecy, France, 45n54,  6e07 
","MET h1e (is standard time)
",AA,"1954 births&Birthday 9 March&Birthplace Annecy, FR&Sun 18 Pisces&Moon 14 Taurus&Asc 11 Aquarius&2013 deaths&Vocation : Politics : Party Affiliation"
133,"


Abeille, Valentin
"," M

","8 August 1907 at 10:00  (= 10:00 AM )
","Alençon, France, 48n26,  0e05 
","LST m2e2015 (is standard time)
",AA,"1907 births&Birthday 8 August&Birthplace Alençon, FR&Sun 14 Leo&Moon 5 Leo&Asc 9 Libra&1944 deaths&Personal : Birth : Twin, triplet, etc.&Vocation : Military : Honors"
134,"


Abel, Alan
"," M

","6 December 1928 at 20:18  (= 8:18 PM )
","Hobart, Indiana, 41n32,  87w15 
","CST h6w (is standard time)
",AA,"1928 births&Birthday 6 December&Birthplace Hobart, IN (US)&Sun 14 Sagittarius&Moon 19 Libra&Asc 7 Leo&2020 deaths&Diagnoses : Major Diseases : Other Major diseases&Family : Relationship : Marriage more than 15 Yrs&Family : Parenting : Kids 1-3&Personal : Death : Illness/ Disease&Personal : Death : Long life more than 80 yrs&Vocation : Entertain/Music : Instrumentalist&Vocation : Entertain/Music : Music teacher&Notable : Awards : Hall of Fame&Notable : Famous : Founder/ originator"
135,"


Abel, Alfred
"," M

","12 March 1879 at 23:45  (= 11:45 PM )
","Leipzig, Germany, 51n19,  12e20 
","LMT m12e20 (is local mean time)
",AA,"1879 births&Birthday 12 March&Birthplace Leipzig, GER&Sun 22 Pisces&Moon 23 Scorpio&Asc 23 Scorpio&1937 deaths&Family : Parenting : Kids - Noted&Lifestyle : Work : Many job changes&Vocation : Entertainment : Actor/ Actress&Vocation : Entertain/Business : Director&Vocation : Entertain/Business : Entertain Producer"
136,"


Abel, Fred
"," M

","25 May 1909 at 20:00  (= 8:00 PM )
","East Dereham, England, 52n41,  0e56 
","GMT h0e (is standard time)
",A,"1909 births&Birthday 25 May&Birthplace East Dereham, ENG (UK)&Sun 3 Gemini&Moon 20 Leo&Asc 5 Sagittarius&1982 deaths&Traits : Personality : Eccentric&Diagnoses : Major Diseases : Heart disease/attack&Lifestyle : Work : Travel for work&Lifestyle : Home : Other Home&Passions : Criminal Victim : Financial crime victim&Vocation : Entertainment : Circus/ Animal acts&Vocation : Misc. : Farmer/ Rancher&Notable : Famous : Newsmaker"
137,"


Abel, Heidi
"," F

","21 February 1929 at 21:15  (= 9:15 PM )
","Basel, Switzerland, 47n33,  7e35 
","MET h1e (is standard time)
",C,"1929 births&Birthday 21 February&Birthplace Basel, SWTZ&Sun 2 Pisces&Moon 6 Leo&Asc 9 Libra&1986 deaths&Vocation : Entertainment : TV host/ Personality"
138,"


Abel, Renée
"," F

","10 October 1907 at 18:30  (= 6:30 PM )
","Paris, France, 48n52,  2e20 
","PMT m2e2015 (is standard time)
",AA,"1907 births&Birthday 10 October&Birthplace Paris, FR&Sun 16 Libra&Moon 28 Scorpio&Asc 19 Taurus&1980 deaths&Vocation : Beauty : Designer/ Fashion"
139,"


Abel, Robert J.
"," M

","10 March 1937 at 08:15  (= 08:15 AM )
","Cleveland, Ohio, 41n30,  81w42 
","EST h5w (is standard time)
",AA,"1937 births&Birthday 10 March&Birthplace Cleveland, OH (US)&Sun 19 Pisces&Moon 19 Aquarius&Asc 25 Aries&2001 deaths&Diagnoses : Major Diseases : Heart disease/attack&Vocation : Business/Marketing : Advertising&Vocation : Computer : Programmer&Vocation : Entertain/Business : Director&Notable : Awards : Vocational award&Notable : Famous : Founder/ originator"
140,"


Abel Smith, Lady May
"," F

","23 January 1906 at 09:25  (= 09:25 AM )
","Esher, England, 51n23,  0w22 
","GMT h0e (is standard time)
",A,"1906 births&Birthday 23 January&Birthplace Esher, ENG (UK)&Sun 2 Aquarius&Moon 15 Capricorn&Asc 12 Pisces&1994 deaths&Family : Relationship : Number of Marriages&Family : Parenting : Kids 1-3&Notable : Famous : Royal family"
141,"


Abela, Marisa
"," F

","7 December 1996 at 21:00  (= 9:00 PM )
","Brighton, England, 50n50,  0w08 
","GMT h0e (is standard time)
",C,"1996 births&Birthday 7 December&Birthplace Brighton, ENG (UK)&Sun 16 Sagittarius&Moon 9 Scorpio&Asc 18 Leo&Traits : Body : Race&Vocation : Entertainment : Actor/ Actress&Vocation : Entertainment : TV series/ Soap star"
142,"


Abela de la Torre, Aurelio
"," M

","11 November 1842 at 00:00  (= 12:00 midnight )
","Málaga, Spain, 36n43,  4w25 
","LMT m4w25 (is local mean time)
",AA,"1842 births&Birthday 11 November&Birthplace Málaga, SPAIN&Sun 18 Scorpio&Moon 28 Aquarius&Asc 27 Leo&Vocation : Sports : Games - Bridge/ Chess/ Other"
143,"


Abelé, Edmond
"," M

","4 March 1925 at 15:00  (= 3:00 PM )
","Châlons en Champagne, France, 48n57,  4e22 
","GMT h0e (is standard time)
",AA,"1925 births&Birthday 4 March&Birthplace Châlons en Champagne, FR&Sun 13 Pisces&Moon 6 Cancer&Asc 17 Leo&2017 deaths&Personal : Death : Long life more than 80 yrs&Vocation : Religion : Ecclesiastics/ western"
144,"


Abelin, Pierre
"," M

","16 May 1909 at 11:45  (= 11:45 AM )
","Poitiers, France, 46n35,  0e20 
","LST m2e2015 (is standard time)
",AA,"1909 births&Birthday 16 May&Birthplace Poitiers, FR&Sun 24 Taurus&Moon 13 Aries&Asc 28 Leo&1977 deaths&Vocation : Politics : Public office&Vocation : Politics : Other Politics"
